timestamp,blocknumber,chain,contract,answer,roundId,updatedAt,latest
1650303239,10042000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,296084000000,18446744073709675338,1650303193,296084000000
1650297137,10037000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,291212500000,18446744073709675285,1650297059,291212500000
1650302108,10041000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,295952000000,18446744073709675326,1650302108,295952000000
1650316800,10051000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,302576000000,18446744073709675443,1650316751,302576000000
1650314931,10050000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,301085663833,18446744073709675429,1650314552,301085663833
1650332355,10063000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306192000000,18446744073709675551,1650332255,306192000000
1650331018,10061000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306543000000,18446744073709675547,1650330749,306543000000
1650330388,10060000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306134217661,18446744073709675545,1650330368,306134217661
1650311700,10048000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,299480000000,18446744073709675405,1650311665,299480000000
1650324820,10056000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305830295428,18446744073709675497,1650324735,305830295428
1650321662,10054000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,303872000000,18446744073709675471,1650321165,303872000000
1650319886,10053000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304331650000,18446744073709675463,1650319805,304331650000
1650318050,10052000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304822654792,18446744073709675452,1650317933,304822654792
1650329361,10059000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306583000000,18446744073709675539,1650329292,306583000000
1650323124,10055000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306493000000,18446744073709675484,1650323124,306493000000
1650326531,10057000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305698000000,18446744073709675505,1650326333,305698000000
1650327986,10058000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,307141000000,18446744073709675524,1650327871,307141000000
1650313217,10049000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,301255000000,18446744073709675420,1650313028,301255000000
1650331654,10062000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306383432465,18446744073709675550,1650331539,306383432465
1650347667,10078000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,303957000000,18446744073709675610,1650347489,303957000000
1650334404,10066000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305027974596,18446744073709675562,1650334180,305027974596
1650346428,10077000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304163000000,18446744073709675609,1650346119,304163000000
1650340275,10072000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,303993000000,18446744073709675586,1650340240,303993000000
1650342656,10074000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304590909045,18446744073709675596,1650341848,304590909045
1650349010,10079000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304210805367,18446744073709675613,1650348583,304210805367
1650336127,10068000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304896000000,18446744073709675568,1650335724,304896000000
1650345077,10076000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304072000000,18446744073709675606,1650344926,304072000000
1650338086,10070000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304553853283,18446744073709675578,1650337924,304553853283
1650333740,10065000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305499000000,18446744073709675560,1650333595,305499000000
1650341591,10073000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304002198651,18446744073709675591,1650341387,304002198651
1650333062,10064000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306089210638,18446744073709675555,1650332815,306089210638
1650343782,10075000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304262000000,18446744073709675598,1650343671,304262000000
1650337219,10069000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304116000000,18446744073709675575,1650337171,304116000000
1650335319,10067000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305161000000,18446744073709675565,1650335201,305161000000
1650339039,10071000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304297040889,18446744073709675581,1650338895,304297040889
1650362969,10090000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304100000000,18446744073709675674,1650362969,304100000000
1650350199,10080000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304684000000,18446744073709675615,1650349551,304684000000
1650361172,10089000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,303969397544,18446744073709675666,1650360874,303969397544
1650358302,10087000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304167000000,18446744073709675657,1650358214,304167000000
1650367525,10093000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305690000000,18446744073709675695,1650367336,305690000000
1650357131,10086000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304786000000,18446744073709675654,1650357074,304786000000
1650370155,10095000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304816000000,18446744073709675711,1650369896,304816000000
1650366102,10092000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305521496717,18446744073709675688,1650365989,305521496717
1650353520,10083000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304396000000,18446744073709675636,1650353369,304396000000
1650359660,10088000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304209071191,18446744073709675662,1650359612,304209071191
1650354721,10084000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,303763000000,18446744073709675644,1650354699,303763000000
1650369047,10094000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304938146254,18446744073709675699,1650368407,304938146254
1650364521,10091000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305022995450,18446744073709675682,1650364511,305022995450
1650355924,10085000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304566000000,18446744073709675649,1650355847,304566000000
1650352441,10082000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304891000000,18446744073709675625,1650352197,304891000000
1650351393,10081000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,304736697549,18446744073709675621,1650351345,304736697549
1650382531,10106000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,311509566455,18446744073709675802,1650382495,311509566455
1650374004,10098000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,305482000000,18446744073709675735,1650373667,305482000000
1650387839,10111000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,310382000000,18446744073709675828,1650387604,310382000000
1650375256,10099000,arbitrum,0x639Fe6ab55C921f74e7fac1ee960C0B6293ba612,306215497309,18446744073709675744,1650375256,306215497309
